
WAVE HEADER INFORMATION: simple440add1000.wav
Sample Rate:  44100 Hz
Amp Width:  2
Number of Channels:  2 channels
Number of Frames:  88200 frames
comptype :  NONE
compname :  not compressed
290 -18261 -18261 -16682.0
291 -19780 -19780 -18261.0
292 -21235 -21235 -19780.0
293 -22622 -22622 -21235.0
294 -23935 -23935 -22622.0
295 -25170 -25170 -23935.0
296 -26323 -26323 -25170.0
297 -27391 -27391 -26323.0
298 -28370 -28370 -27391.0
299 -29257 -29257 -28370.0
300 -30049 -30049 -29257.0
301 -30744 -30744 -30049.0
302 -31338 -31338 -30744.0
303 -31831 -31831 -31338.0
304 -32220 -32220 -31831.0
305 -32505 -32505 -32220.0
306 -32685 -32685 -32505.0
307 -32758 -32758 -32685.0
308 -32724 -32724 -32758.0
309 -32585 -32585 -32724.0
310 -32340 -32340 -32585.0
311 -31989 -31989 -32340.0
312 -31535 -31535 -31989.0
313 -30978 -30978 -31535.0
314 -30321 -30321 -30978.0
315 -29566 -29566 -30321.0
316 -28714 -28714 -29566.0
317 -27769 -27769 -28714.0
318 -26734 -26734 -27769.0
319 -25612 -25612 -26734.0
320 -24407 -24407 -25612.0
321 -23123 -23123 -24407.0
322 -21764 -21764 -23123.0
323 -20334 -20334 -21764.0
324 -18838 -18838 -20334.0
325 -17280 -17280 -18838.0
326 -15667 -15667 -17280.0
327 -14003 -14003 -15667.0
328 -12293 -12293 -14003.0
329 -10544 -10544 -12293.0
330 -8760 -8760 -10544.0
331 -6948 -6948 -8760.0
332 -5113 -5113 -6948.0
333 -3261 -3261 -5113.0
334 -1399 -1399 -3261.0
335 466 466 -1399.0
336 2331 2331 466.0
337 4189 4189 2331.0
338 6033 6033 4189.0
339 7857 7857 6033.0
340 9656 9656 7857.0
341 11423 11423 9656.0
342 13153 13153 11423.0
343 14841 14841 13153.0
344 16480 16480 14841.0
345 18066 18066 16480.0
346 19594 19594 18066.0
347 21057 21057 19594.0
348 22452 22452 21057.0
349 23775 23775 22452.0
350 25020 25020 23775.0
351 26184 26184 25020.0
352 27263 27263 26184.0
353 28253 28253 27263.0
354 29152 29152 28253.0
355 29956 29956 29152.0
356 30662 30662 29956.0
357 31269 31269 30662.0
358 31775 31775 31269.0
359 32177 32177 31775.0
360 32475 32475 32177.0
361 32668 32668 32475.0
362 32754 32754 32668.0
363 32734 32734 32754.0
364 32608 32608 32734.0
365 32376 32376 32608.0
366 32039 32039 32376.0
367 31597 31597 32039.0
368 31054 31054 31597.0
369 30409 30409 31054.0
370 29665 29665 30409.0
371 28826 28826 29665.0
372 27892 27892 28826.0
373 26868 26868 27892.0
374 25757 25757 26868.0
375 24562 24562 25757.0
376 23288 23288 24562.0
377 21938 21938 23288.0
378 20516 20516 21938.0
379 19028 19028 20516.0
380 17478 17478 19028.0
381 15872 15872 17478.0
382 14214 14214 15872.0
383 12509 12509 14214.0
384 10764 10764 12509.0
385 8985 8985 10764.0
386 7175 7175 8985.0
387 5343 5343 7175.0
388 3493 3493 5343.0
389 1632 1632 3493.0
390 -233 -233 1632.0
391 -2098 -2098 -233.0
392 -3957 -3957 -2098.0
393 -5803 -5803 -3957.0
394 -7630 -7630 -5803.0
395 -9432 -9432 -7630.0
396 -11204 -11204 -9432.0
397 -12939 -12939 -11204.0
398 -14633 -14633 -12939.0
399 -16278 -16278 -14633.0
400 -17871 -17871 -16278.0
401 -19406 -19406 -17871.0
402 -20878 -20878 -19406.0
403 -22282 -22282 -20878.0
404 -23614 -23614 -22282.0
405 -24869 -24869 -23614.0
406 -26043 -26043 -24869.0
407 -27133 -27133 -26043.0
408 -28134 -28134 -27133.0
409 -29044 -29044 -28134.0
410 -29860 -29860 -29044.0
411 -30579 -30579 -29860.0
412 -31199 -31199 -30579.0
413 -31717 -31717 -31199.0
414 -32133 -32133 -31717.0
415 -32444 -32444 -32133.0
416 -32650 -32650 -32444.0
417 -32749 -32749 -32650.0
418 -32743 -32743 -32749.0
419 -32630 -32630 -32743.0
420 -32411 -32411 -32630.0
421 -32087 -32087 -32411.0
422 -31658 -31658 -32087.0
423 -31127 -31127 -31658.0
424 -30495 -30495 -31127.0
425 -29764 -29764 -30495.0
426 -28936 -28936 -29764.0
427 -28014 -28014 -28936.0
428 -27001 -27001 -28014.0
429 -25901 -25901 -27001.0
430 -24716 -24716 -25901.0
431 -23451 -23451 -24716.0
432 -22110 -22110 -23451.0
433 -20698 -20698 -22110.0
434 -19218 -19218 -20698.0
435 -17675 -17675 -19218.0
436 -16075 -16075 -17675.0
437 -14423 -14423 -16075.0
438 -12725 -12725 -14423.0
439 -10984 -10984 -12725.0
440 -9209 -9209 -10984.0
441 -7403 -7403 -9209.0
442 -5573 -5573 -7403.0
443 -3725 -3725 -5573.0
444 -1865 -1865 -3725.0
445 0 0 -1865.0
446 1865 1865 0.0
447 3725 3725 1865.0
448 5573 5573 3725.0
449 7403 7403 5573.0
450 9209 9209 7403.0
451 10984 10984 9209.0
452 12725 12725 10984.0
453 14423 14423 12725.0
454 16075 16075 14423.0
455 17675 17675 16075.0
456 19218 19218 17675.0
457 20698 20698 19218.0
458 22110 22110 20698.0
459 23451 23451 22110.0
460 24716 24716 23451.0
461 25901 25901 24716.0
462 27001 27001 25901.0
463 28014 28014 27001.0
464 28936 28936 28014.0
465 29764 29764 28936.0
466 30495 30495 29764.0
467 31127 31127 30495.0
468 31658 31658 31127.0
469 32087 32087 31658.0
470 32411 32411 32087.0
471 32630 32630 32411.0
472 32743 32743 32630.0
473 32749 32749 32743.0
474 32650 32650 32749.0
475 32444 32444 32650.0
476 32133 32133 32444.0
477 31717 31717 32133.0
478 31199 31199 31717.0
479 30579 30579 31199.0
480 29860 29860 30579.0
481 29044 29044 29860.0
482 28134 28134 29044.0
483 27133 27133 28134.0
484 26043 26043 27133.0
485 24869 24869 26043.0
486 23614 23614 24869.0
487 22282 22282 23614.0
488 20878 20878 22282.0
489 19406 19406 20878.0
490 17871 17871 19406.0
491 16278 16278 17871.0
492 14633 14633 16278.0
493 12939 12939 14633.0
494 11204 11204 12939.0
495 9432 9432 11204.0
496 7630 7630 9432.0
497 5803 5803 7630.0
498 3957 3957 5803.0
499 2098 2098 3957.0
500 233 233 2098.0
501 -1632 -1632 233.0
502 -3493 -3493 -1632.0
503 -5343 -5343 -3493.0
504 -7175 -7175 -5343.0
505 -8985 -8985 -7175.0
506 -10764 -10764 -8985.0
507 -12509 -12509 -10764.0
508 -14214 -14214 -12509.0
509 -15872 -15872 -14214.0
510 -17478 -17478 -15872.0
511 -19028 -19028 -17478.0
512 -20516 -20516 -19028.0
513 -21938 -21938 -20516.0
514 -23288 -23288 -21938.0
515 -24562 -24562 -23288.0
516 -25757 -25757 -24562.0
517 -26868 -26868 -25757.0
518 -27892 -27892 -26868.0
519 -28826 -28826 -27892.0
520 -29665 -29665 -28826.0
521 -30409 -30409 -29665.0
522 -31054 -31054 -30409.0
523 -31597 -31597 -31054.0
524 -32039 -32039 -31597.0
525 -32376 -32376 -32039.0
526 -32608 -32608 -32376.0
527 -32734 -32734 -32608.0
528 -32754 -32754 -32734.0
529 -32668 -32668 -32754.0
530 -32475 -32475 -32668.0
531 -32177 -32177 -32475.0
532 -31775 -31775 -32177.0
533 -31269 -31269 -31775.0
534 -30662 -30662 -31269.0
535 -29956 -29956 -30662.0
536 -29152 -29152 -29956.0
537 -28253 -28253 -29152.0
538 -27263 -27263 -28253.0
539 -26184 -26184 -27263.0
540 -25020 -25020 -26184.0
541 -23775 -23775 -25020.0
542 -22452 -22452 -23775.0
543 -21057 -21057 -22452.0
544 -19594 -19594 -21057.0
545 -18066 -18066 -19594.0
546 -16480 -16480 -18066.0
547 -14841 -14841 -16480.0
548 -13153 -13153 -14841.0
549 -11423 -11423 -13153.0
550 -9656 -9656 -11423.0
551 -7857 -7857 -9656.0
552 -6033 -6033 -7857.0
553 -4189 -4189 -6033.0
554 -2331 -2331 -4189.0
555 -466 -466 -2331.0
556 1399 1399 -466.0
557 3261 3261 1399.0
558 5113 5113 3261.0
559 6948 6948 5113.0
560 8760 8760 6948.0
561 10544 10544 8760.0
562 12293 12293 10544.0
563 14003 14003 12293.0
564 15667 15667 14003.0
565 17280 17280 15667.0
566 18838 18838 17280.0
567 20334 20334 18838.0
568 21764 21764 20334.0
569 23123 23123 21764.0
570 24407 24407 23123.0
571 25612 25612 24407.0
572 26734 26734 25612.0
573 27769 27769 26734.0
574 28714 28714 27769.0
575 29566 29566 28714.0
576 30321 30321 29566.0
577 30978 30978 30321.0
578 31535 31535 30978.0
579 31989 31989 31535.0
580 32340 32340 31989.0
581 32585 32585 32340.0
582 32724 32724 32585.0
583 32758 32758 32724.0
584 32685 32685 32758.0
585 32505 32505 32685.0
586 32220 32220 32505.0
587 31831 31831 32220.0
588 31338 31338 31831.0
589 30744 30744 31338.0
590 30049 30049 30744.0
591 29257 29257 30049.0
592 28370 28370 29257.0
593 27391 27391 28370.0
594 26323 26323 27391.0
595 25170 25170 26323.0
596 23935 23935 25170.0
597 22622 22622 23935.0
598 21235 21235 22622.0
599 19780 19780 21235.0
600 18261 18261 19780.0
601 16682 16682 18261.0
602 15049 15049 16682.0
603 13367 13367 15049.0
604 11642 11642 13367.0
605 9878 9878 11642.0
606 8083 8083 9878.0
607 6262 6262 8083.0
608 4420 4420 6262.0
609 2564 2564 4420.0
610 700 700 2564.0
611 -1166 -1166 700.0
612 -3029 -3029 -1166.0
613 -4882 -4882 -3029.0
614 -6719 -6719 -4882.0
615 -8535 -8535 -6719.0
616 -10322 -10322 -8535.0
617 -12077 -12077 -10322.0
618 -13792 -13792 -12077.0
619 -15462 -15462 -13792.0
620 -17082 -17082 -15462.0
621 -18646 -18646 -17082.0
622 -20150 -20150 -18646.0
623 -21589 -21589 -20150.0
624 -22957 -22957 -21589.0
625 -24251 -24251 -22957.0
626 -25466 -25466 -24251.0
627 -26599 -26599 -25466.0
628 -27645 -27645 -26599.0
629 -28601 -28601 -27645.0
630 -29464 -29464 -28601.0
631 -30232 -30232 -29464.0
632 -30902 -30902 -30232.0
633 -31471 -31471 -30902.0
634 -31938 -31938 -31471.0
635 -32302 -32302 -31938.0
636 -32560 -32560 -32302.0
637 -32713 -32713 -32560.0
638 -32759 -32759 -32713.0
639 -32699 -32699 -32759.0
640 -32533 -32533 -32699.0
641 -32262 -32262 -32533.0
642 -31885 -31885 -32262.0
643 -31405 -31405 -31885.0
644 -30824 -30824 -31405.0
645 -30142 -30142 -30824.0
646 -29362 -29362 -30142.0
647 -28486 -28486 -29362.0
648 -27519 -27519 -28486.0
649 -26462 -26462 -27519.0
650 -25319 -25319 -26462.0
651 -24093 -24093 -25319.0
652 -22790 -22790 -24093.0
653 -21413 -21413 -22790.0
654 -19966 -19966 -21413.0
655 -18454 -18454 -19966.0
656 -16882 -16882 -18454.0
657 -15256 -15256 -16882.0
658 -13580 -13580 -15256.0
659 -11859 -11859 -13580.0
660 -10101 -10101 -11859.0
661 -8309 -8309 -10101.0
662 -6491 -6491 -8309.0
663 -4651 -4651 -6491.0
664 -2797 -2797 -4651.0
665 -933 -933 -2797.0
666 933 933 -933.0
667 2797 2797 933.0
668 4651 4651 2797.0
669 6491 6491 4651.0
670 8309 8309 6491.0
671 10101 10101 8309.0
672 11859 11859 10101.0
673 13580 13580 11859.0
674 15256 15256 13580.0
675 16882 16882 15256.0
676 18454 18454 16882.0
677 19966 19966 18454.0
678 21413 21413 19966.0
679 22790 22790 21413.0
680 24093 24093 22790.0
681 25319 25319 24093.0
682 26462 26462 25319.0
683 27519 27519 26462.0
684 28486 28486 27519.0
685 29362 29362 28486.0
686 30142 30142 29362.0
687 30824 30824 30142.0
688 31405 31405 30824.0
689 31885 31885 31405.0
690 32262 32262 31885.0
691 32533 32533 32262.0
692 32699 32699 32533.0
693 32759 32759 32699.0
694 32713 32713 32759.0
695 32560 32560 32713.0
696 32302 32302 32560.0
697 31938 31938 32302.0
698 31471 31471 31938.0
699 30902 30902 31471.0
700 30232 30232 30902.0
701 29464 29464 30232.0
702 28601 28601 29464.0
703 27645 27645 28601.0
704 26599 26599 27645.0
705 25466 25466 26599.0
706 24251 24251 25466.0
707 22957 22957 24251.0
708 21589 21589 22957.0
709 20150 20150 21589.0
710 18646 18646 20150.0
711 17082 17082 18646.0
712 15462 15462 17082.0
713 13792 13792 15462.0
714 12077 12077 13792.0
715 10322 10322 12077.0
716 8535 8535 10322.0
717 6719 6719 8535.0
718 4882 4882 6719.0
719 3029 3029 4882.0
720 1166 1166 3029.0
721 -700 -700 1166.0
722 -2564 -2564 -700.0
723 -4420 -4420 -2564.0
724 -6262 -6262 -4420.0
725 -8083 -8083 -6262.0
