
WAVE HEADER INFORMATION: simple440add1000.wav
Sample Rate:  44100 Hz
Amp Width:  2
Number of Channels:  2 channels
Number of Frames:  88200 frames
comptype :  NONE
compname :  not compressed
debug TranLossPrecent   214 0.29174270140011666
debug TranLossPrecent   215 0.2900681198693154
debug TranLossPrecent   216 0.28840315031266056
debug TranLossPrecent   217 0.2867477375581316
debug TranLossPrecent   218 0.2851018267503909
debug TranLossPrecent   219 0.2834653633489667
debug TranLossPrecent   220 0.28183829312644537
debug TranLossPrecent   221 0.2802205621666747
debug TranLossPrecent   222 0.278612116862977
debug TranLossPrecent   223 0.27701290391637334
debug TranLossPrecent   224 0.2754228703338166
debug TranLossPrecent   225 0.27384196342643613
debug TranLossPrecent   226 0.2722701308077913
debug TranLossPrecent   227 0.2707073203921357
debug TranLossPrecent   228 0.2691534803926916
debug TranLossPrecent   229 0.2676085593199332
debug TranLossPrecent   230 0.266072505979881
debug TranLossPrecent   231 0.264545269472405
debug TranLossPrecent   232 0.26302679918953825
debug TranLossPrecent   233 0.2615170448137997
debug TranLossPrecent   234 0.26001595631652724
debug TranLossPrecent   235 0.25852348395621905
debug TranLossPrecent   236 0.2570395782768864
debug TranLossPrecent   237 0.25556419010641385
debug TranLossPrecent   238 0.25409727055493053
debug TranLossPrecent   239 0.2526387710131896
debug TranLossPrecent   240 0.251188643150958
debug TranLossPrecent   241 0.24974683891541433
debug TranLossPrecent   242 0.24831331052955705
debug TranLossPrecent   243 0.24688801049062084
debug TranLossPrecent   244 0.24547089156850305
debug TranLossPrecent   245 0.244061906804198
debug TranLossPrecent   246 0.24266100950824157
debug TranLossPrecent   247 0.24126815325916334
debug TranLossPrecent   248 0.23988329190194907
debug TranLossPrecent   249 0.23850637954651052
debug TranLossPrecent   250 0.23713737056616555
debug TranLossPrecent   251 0.23577621959612546
debug TranLossPrecent   252 0.23442288153199223
debug TranLossPrecent   253 0.2330773115282638
debug TranLossPrecent   254 0.23173946499684786
debug TranLossPrecent   255 0.2304092976055846
debug TranLossPrecent   256 0.2290867652767773
